"Player","Team","REC","REC_YDS","REC_TDS","FL","FPTS"
"Adam Trautman","DENhigh","18.1","176.8","1.6","0.0","27.1"
"","high","25.0","236.0","3.0","0.0","33.0"
"","low","13.0","131.0","0.9","0.1","20.6"
"Jaheim Bell","NEhigh","16.5","172.0","1.5","0.0","26.2"
"","high","23.0","253.0","2.0","0.0","60.3"
"","low","10.0","91.0","1.0","0.0","10.0"
"Brock Wright","DEThigh","17.0","163.6","1.6","0.1","26.1"
"","high","27.0","251.0","3.0","0.0","34.0"
"","low","8.1","84.6","0.7","0.1","12.4"
"Tanner Hudson","CINhigh","18.2","175.4","1.4","0.0","25.9"
"","high","25.0","245.0","2.0","0.0","56.1"
"","low","12.0","113.0","0.6","0.1","10.0"
"Josh Oliver","MINhigh","17.6","171.4","1.3","0.4","24.2"
"","high","27.0","258.0","2.0","0.0","28.6"
"","low","11.0","116.0","0.9","1.0","17.5"
"Austin Hooper","NEhigh","19.6","185.4","0.9","0.0","24.1"
"","high","29.0","264.0","1.1","0.0","31.0"
"","low","11.0","109.0","0.6","0.1","16.2"
"Elijah Higgins","ARIhigh","16.3","177.7","1.0","0.0","23.6"
"","high","31.0","373.0","2.0","0.0","41.0"
"","low","3.6","33.4","0.2","0.1","4.5"
"Jeremy Ruckert","NYJhigh","16.2","161.2","1.2","0.1","23.2"
"","high","26.0","257.0","2.0","0.0","42.9"
"","low","1.9","18.1","0.2","0.2","2.6"
"Darnell Washington","PIThigh","16.5","162.2","1.1","0.0","22.9"
"","high","20.3","190.7","1.4","0.0","36.3"
"","low","14.1","142.7","1.0","0.1","20.0"
"Luke Schoonmaker","DALhigh","12.8","131.0","1.3","0.0","20.5"
"","high","18.3","180.4","1.6","0.0","27.8"
"","low","8.0","87.0","1.0","0.1","19.4"
"Logan Thomas","SFhigh","14.0","143.0","1.0","0.0","20.3"
"","high","14.0","143.0","1.0","0.0","34.3"
"","low","14.0","143.0","1.0","0.0","34.3"
"Foster Moreau","NOhigh","12.5","138.9","1.0","0.0","20.0"
"","high","15.9","181.8","1.3","0.0","28.6"
"","low","11.0","116.0","0.9","0.1","11.0"
"Josh Whyle","TENhigh","12.5","127.7","1.1","0.0","19.2"
"","high","23.0","236.0","2.0","0.0","58.6"
"","low","1.8","18.2","0.2","0.1","2.5"
"Johnny Mundt","MINhigh","14.5","139.2","0.8","0.0","18.9"
"","high","20.5","191.4","1.1","0.0","40.5"
"","low","3.6","32.2","0.2","0.1","4.5"
"Will Mallory","INDhigh","12.9","135.0","0.9","0.0","18.5"
"","high","16.0","169.0","1.0","0.0","38.9"
"","low","10.0","107.9","0.7","0.1","10.0"
"Devin Culp","TBhigh","12.0","124.0","1.0","0.0","18.4"
"","high","13.0","135.0","1.0","0.0","32.5"
