"Player","Team","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"Kendrick Bourne","NEhigh","40.8","493.0","2.9","2.0","13.5","0.0","0.5","67.1"
"","high","49.6","577.0","4.0","4.0","29.0","0.1","0.0","107.5"
"","low","33.6","418.8","1.5","0.0","0.0","0.0","1.0","50.6"
"Marvin Mims Jr.","DENhigh","37.9","493.4","2.5","3.9","22.5","0.1","0.2","66.8"
"","high","42.8","534.9","3.0","7.8","44.6","0.3","0.0","112.0"
"","low","34.9","448.2","1.9","0.0","0.0","0.0","0.5","68.4"
"Jermaine Burton","CINhigh","37.8","479.5","3.2","0.7","4.3","0.0","0.7","65.9"
"","high","47.0","650.0","4.0","2.0","10.0","0.0","0.0","124.6"
"","low","21.9","257.2","1.8","0.0","0.0","0.0","2.0","36.1"
"Josh Reynolds","DENhigh","36.5","474.8","3.1","0.0","1.3","0.0","0.4","65.4"
"","high","43.8","582.0","5.0","0.0","5.0","0.0","0.0","80.6"
"","low","30.0","371.9","2.0","0.0","0.0","0.0","1.0","53.3"
"Jalin Hyatt","NYGhigh","40.8","512.3","2.4","0.0","1.0","0.0","0.3","65.2"
"","high","51.0","625.9","2.8","0.0","3.0","0.0","0.0","78.4"
"","low","23.0","343.0","2.0","0.0","0.0","0.0","0.5","69.6"
"Jalen Tolbert","DALhigh","37.5","464.2","3.0","0.0","2.3","0.0","0.2","64.3"
"","high","43.3","574.4","3.5","0.0","7.0","0.0","0.0","105.2"
"","low","29.2","353.3","2.6","0.0","0.0","0.0","0.5","50.2"
"Roman Wilson","PIThigh","36.6","474.6","2.8","0.7","10.0","0.0","0.4","64.3"
"","high","50.0","672.0","4.0","2.0","29.0","0.0","0.0","144.1"
"","low","21.9","279.1","1.5","0.0","0.0","0.0","1.0","36.8"
"Tyler Boyd","TENhigh","46.0","497.3","2.4","1.3","7.6","0.0","0.5","64.1"
"","high","57.8","576.0","3.0","2.0","11.6","0.1","0.0","111.0"
"","low","37.4","418.3","2.0","0.0","0.0","0.0","1.0","54.8"
"Luke McCaffrey","WAShigh","39.9","473.4","2.3","0.7","9.3","0.0","0.4","61.4"
"","high","53.0","582.0","3.0","2.0","28.0","0.0","0.0","132.0"
"","low","24.9","296.0","1.4","0.0","0.0","0.0","1.0","37.5"
"Tre Tucker","LVhigh","35.0","424.7","2.4","6.0","39.8","0.2","0.3","61.3"
"","high","44.3","571.6","3.0","12.0","77.3","0.5","0.0","96.6"
"","low","24.9","318.5","2.0","0.0","0.0","0.0","0.6","43.0"
