"Player","Team","PASS_ATT","PASS_CMP","PASS_YDS","PASS_TDS","PASS_INTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"","low","515.0","332.0","3,888.0","24.9","12.0","30.9","75.0","1.0","6.0","247.1"
"Matthew Stafford","LARhigh","552.8","355.3","4,126.4","26.8","12.5","23.4","66.0","0.6","2.2","265.6"
"","high","586.6","374.8","4,332.7","29.0","10.0","25.7","77.9","1.0","1.0","306.1"
"","low","533.7","346.6","4,015.0","23.2","14.0","20.8","53.0","0.0","3.0","240.6"
"Aaron Rodgers","NYJhigh","544.5","359.5","3,840.6","26.2","9.0","33.2","109.7","1.3","2.7","262.9"
"","high","554.0","371.0","3,952.4","27.2","6.9","40.5","187.9","2.1","2.0","306.2"
"","low","520.8","341.9","3,622.0","24.0","11.0","28.0","73.0","0.0","3.0","255.5"
"Geno Smith","SEAhigh","522.7","342.5","3,754.9","24.1","11.9","50.6","203.9","1.7","3.1","259.4"
"","high","579.5","374.2","4,079.7","28.0","10.0","57.0","235.0","2.2","3.0","299.1"
"","low","482.1","319.8","3,527.0","20.0","15.4","43.0","147.0","1.0","3.2","227.7"
"Will Levis","TENhigh","512.7","323.0","3,726.7","22.1","12.4","53.9","185.5","2.2","4.2","248.8"
"","high","549.0","348.2","3,845.0","24.0","11.0","68.8","281.7","3.1","3.0","307.5"
"","low","438.0","288.0","3,340.0","20.4","14.0","48.0","131.0","2.0","5.6","229.1"
"Daniel Jones","NYGhigh","493.9","322.6","3,225.2","16.6","10.6","95.0","469.2","3.5","3.6","245.4"
"","high","537.5","360.4","3,622.2","20.0","7.0","106.0","556.0","4.5","3.0","279.6"
"","low","468.0","304.0","2,923.0","14.1","14.0","85.0","414.0","3.0","4.7","216.3"
"Derek Carr","NOhigh","544.5","363.5","3,843.5","24.5","10.9","24.7","71.1","0.5","3.2","244.4"
"","high","571.6","381.6","4,094.4","31.0","10.0","32.0","90.5","1.0","3.0","311.0"
"","low","523.3","346.2","3,650.0","20.6","11.2","12.0","55.0","0.0","3.7","218.8"
"Sam Darnold","MINhigh","540.9","343.7","3,720.3","21.9","14.5","44.5","173.2","2.1","4.1","244.0"
"","high","592.8","381.0","4,128.0","25.0","12.0","54.1","248.0","3.2","2.0","289.5"
"","low","469.7","292.0","3,117.3","17.0","20.0","31.0","57.0","1.0","5.3","191.9"
"Bo Nix","DENhigh","496.5","309.9","3,210.2","19.0","12.1","61.4","281.1","2.4","3.6","227.7"
"","high","527.4","325.0","3,379.6","24.0","11.0","90.3","401.9","5.0","3.0","264.1"
"","low","457.0","291.0","3,074.0","16.8","12.8","44.4","189.6","1.0","4.0","192.7"
"Bryce Young","CARhigh","531.3","333.0","3,449.8","19.2","11.9","43.0","237.1","1.2","3.5","227.2"
"","high","556.0","350.0","3,684.8","20.1","11.0","45.9","267.4","2.0","3.0","286.3"
"","low","511.9","309.0","3,023.0","18.1","14.0","38.0","196.2","0.8","4.4","215.1"
"Russell Wilson","PIThigh","430.6","274.2","2,940.6","17.9","9.2","64.4","298.7","2.4","3.5","217.4"
"","high","490.3","320.3","3,367.6","21.8","8.0","68.5","348.7","4.0","3.0","257.5"
"","low","391.0","244.0","2,663.0","14.9","10.0","58.0","268.6","1.9","4.0","191.4"
"Drake Maye","NEhigh","429.3","272.1","3,009.7","15.6","12.4","57.0","261.6","2.1","2.5","204.1"
"","high","467.0","297.9","3,461.0","20.0","10.0","70.3","306.6","3.0","1.0","242.3"
"","low","390.0","251.0","2,476.0","13.2","16.0","40.0","167.0","1.0","3.5","158.0"
"Gardner Minshew II","LVhigh","413.6","259.4","2,777.8","16.0","10.3","34.0","122.3","1.8","2.9","181.9"
"","high","529.8","333.1","3,548.1","22.4","6.7","51.8","212.8","2.3","2.0","236.2"
"","low","311.7","198.4","2,163.8","9.6","14.0","27.3","68.0","1.0","4.0","127.1"
"Justin Fields","PIThigh","115.3","70.7","790.4","4.4","3.1","42.5","221.7","1.8","1.5","76.0"
"","high","125.0","77.1","865.0","5.0","2.0","50.0","275.0","2.0","1.0","102.8"
"","low","97.0","59.0","639.0","4.0","4.0","38.5","197.0","1.2","2.0","59.0"
"Taysom Hill","NOhigh","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","75.8"
"","high","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","109.0"
"","low","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","109.0"
"Aidan O'Connell","LVhigh","202.6","127.9","1,244.0","6.4","4.6","18.1","36.6","0.3","1.0","74.6"
"","high","278.9","177.8","1,927.9","10.0","1.0","26.0","74.4","1.3","0.0","135.1"
"","low","52.0","32.0","344.0","2.0","7.0","3.0","3.0","0.0","1.9","15.0"
"Jacoby Brissett","NEhigh","118.7","75.6","753.8","4.3","2.9","10.7","39.4","0.2","1.1","47.2"
"","high","143.7","90.2","956.0","7.0","1.3","15.3","58.0","0.6","1.0","79.6"
"","low","62.2","40.4","442.7","1.6","5.0","6.3","26.0","0.0","1.2","24.9"
