"Player","Team","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC","REC_YDS","REC_TDS","FL","FPTS"
"","high","34.0","145.0","2.0","2.0","25.0","0.0","0.0","19.0"
"","low","34.0","145.0","2.0","2.0","25.0","0.0","0.0","19.0"
"Jase McClellan","ATLhigh","31.2","129.2","1.0","5.4","43.7","0.4","0.0","25.5"
"","high","34.0","151.0","1.0","10.0","75.0","1.0","0.0","41.3"
"","low","28.4","118.0","0.9","2.0","26.0","0.0","0.1","13.0"
"Rasheen Ali","BALhigh","26.4","149.0","1.2","3.9","31.0","0.1","0.0","25.2"
"","high","36.0","196.0","2.0","6.0","44.0","0.2","0.0","36.0"
"","low","16.7","70.1","0.5","2.0","23.0","0.0","0.1","13.4"
"Deuce Vaughn","DALhigh","25.0","105.2","0.9","8.4","63.0","0.4","0.4","23.9"
"","high","58.0","194.0","2.0","11.0","82.0","1.0","0.0","46.8"
"","low","4.6","18.3","0.2","4.3","30.9","0.0","1.0","7.1"
"Kyle Juszczyk","SFhigh","5.6","20.2","0.1","14.2","136.7","1.1","0.0","22.8"
"","high","7.0","21.0","0.2","25.0","269.0","2.0","0.0","31.0"
"","low","4.7","19.8","0.0","5.9","52.9","0.4","0.1","10.4"
"Cam Akers","HOUhigh","31.6","132.6","0.9","3.9","29.7","0.2","0.0","22.5"
"","high","44.4","177.0","1.2","6.6","53.2","0.3","0.0","32.0"
"","low","18.8","74.9","0.5","2.2","15.8","0.0","0.1","12.5"
"Ameer Abdullah","LVhigh","26.7","102.3","0.2","10.7","78.4","0.1","0.0","20.0"
"","high","47.0","223.0","0.6","17.0","125.0","0.4","0.0","25.6"
"","low","9.4","37.9","0.0","3.7","26.3","0.0","0.1","8.8"
"Blake Watson","DENhigh","0.0","108.0","1.0","4.0","29.0","0.0","0.0","19.7"
"","high","0.0","108.0","1.0","4.0","29.0","0.0","0.0","23.7"
"","low","0.0","108.0","1.0","4.0","29.0","0.0","0.0","23.7"
"Austin Jones","WAShigh","26.0","113.0","1.0","2.0","23.0","0.0","0.0","19.6"
"","high","26.0","113.0","1.0","2.0","23.0","0.0","0.0","11.0"
"","low","26.0","113.0","1.0","2.0","23.0","0.0","0.0","11.0"
"Pierre Strong Jr.","CLEhigh","29.2","137.7","0.7","2.7","21.6","0.0","0.5","19.2"
"","high","56.0","292.0","1.0","5.0","38.0","0.1","0.0","25.9"
"","low","2.4","10.2","0.0","1.0","13.0","0.0","1.0","3.3"
"D'Ernest Johnson","JAChigh","31.8","113.9","0.5","5.5","39.3","0.1","0.1","19.0"
"","high","54.4","241.1","1.3","8.9","62.5","0.2","0.0","39.2"
"","low","9.1","37.5","0.0","3.0","23.0","0.0","0.2","9.4"
"Ronnie Rivers","LARhigh","27.2","109.4","0.7","4.6","33.3","0.1","0.0","18.9"
"","high","52.0","208.0","1.0","8.0","62.0","0.2","0.0","23.1"
"","low","2.3","9.3","0.0","2.0","15.1","0.0","0.1","3.5"
"Craig Reynolds","DEThigh","21.6","102.3","0.8","4.1","33.4","0.1","0.1","18.6"
"","high","33.0","138.0","1.1","6.1","47.2","0.2","0.0","30.3"
"","low","2.4","9.5","0.0","2.0","17.3","0.0","0.2","3.7"
"Jordan Mims","NOhigh","32.0","92.5","1.0","3.0","21.5","0.0","0.0","17.4"
"","high","32.0","117.0","1.0","3.0","25.0","0.0","0.0","17.6"
"","low","32.0","68.0","1.0","3.0","18.0","0.0","0.0","11.0"
"Hunter Luepke","DALhigh","8.7","31.2","1.4","5.7","39.4","0.2","0.0","16.6"
"","high","15.0","48.0","4.0","8.0","54.0","0.3","0.0","27.0"
"","low","4.2","18.0","0.1","4.3","31.0","0.0","0.0","7.1"
"Trayveon Williams","CINhigh","26.2","89.3","0.6","4.8","31.3","0.1","0.1","16.0"
"","high","41.6","181.8","1.4","9.2","59.6","0.3","0.0","35.2"
"","low","10.9","41.0","0.0","2.2","14.4","0.0","0.2","8.2"
